id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
199568,Garden studio apt,974919,Sara,,Ward 1,44.95196,-123.05627,Entire home/apt,90,2,173,2022-03-13,1.34,1,91,4,
7293821,Chauffeurs Room @ the Villa,38202007,Julie,,Ward 7,44.92484,-123.0499,Entire home/apt,105,2,359,2022-02-20,4.41,1,76,23,
7897605,Bohemian rhapsody room,35031501,Shelley,,Ward 6,44.97032,-122.96332,Private room,57,2,78,2022-03-08,1.01,2,301,24,
8522149,You are my sunshine room,35031501,Shelley,,Ward 6,44.97051,-122.96244,Private room,35,2,80,2022-03-07,1.03,2,303,16,
8524259,Single room in Comfort Home,2421461,Nancy,,Ward 7,44.89105,-123.06843,Private room,65,1,3,2021-04-21,0.05,2,355,1,
8698684,Charming 1925 Craftsman centrally located!,3208932,Christy,,Ward 2,44.93305,-123.01985,Entire home/apt,250,3,81,2021-11-27,1.07,3,65,1,
9238563,Spacious Suite w/ Private Sauna and AC in City,48017737,Steve & Robin,,Ward 1,44.95434,-123.05679,Entire home/apt,96,3,367,2022-03-19,4.77,1,141,26,
9477671,Stylish Private Urban Guest House-Vaccine Required,14797761,Leigh,,Ward 1,44.95668,-123.02635,Entire home/apt,78,1,556,2022-03-18,8.12,1,42,128,
9597053,Spacious home near downtown Salem,18810608,Karen,,Ward 1,44.95171,-123.04056,Entire home/apt,79,3,215,2022-03-20,2.84,1,82,21,
9956213,Immaculate home with Central AC in SE Salem,38945057,Ernest & Tal,,Ward 4,44.8759,-123.0604,Entire home/apt,165,2,103,2022-03-21,1.36,1,95,9,
10074172,Relax in a  Quiet Peaceful Historic House,51689419,Nick,,Ward 1,44.94404,-123.0128,Private room,79,1,157,2021-08-26,2.09,4,176,14,
11362008,"Travel Inspired King Room (+ desk), Central Salem",3208932,Christy,,Ward 2,44.93135,-123.02125,Private room,40,1,390,2022-03-14,5.39,3,35,44,
12588161,Home away from home,68279432,Sharon,,Ward 2,44.91015,-123.03455,Private room,35,5,64,2022-03-20,0.89,1,249,6,
12892550,Peaceful Room in Salem Historic Neighborhood,972844,Julia,,Ward 1,44.94406,-123.01257,Private room,84,1,136,2021-12-27,1.91,1,169,13,
13238464,House on the Corner,18605800,Colleen,,Ward 1,44.94813,-123.02608,Private room,85,2,49,2022-02-23,1.57,1,34,19,
13620753,Private Suite 5 mins to Downtown /60 mins to Coast,78890374,Bob & Delia,,Ward 8,44.9622,-123.0696,Private room,65,1,398,2022-03-12,5.70,1,345,92,
13960938,"2 Bedrooms/Private Entry/Private Bath, S Salem",19196434,Maria,,Ward 7,44.90361,-123.05791,Private room,55,3,162,2022-03-16,2.39,1,113,29,
14077210,Light filled Art Loft on Fairmount Hill,2666789,Mary Lou,,Ward 7,44.92325,-123.04947,Entire home/apt,111,2,244,2022-01-15,3.55,1,69,4,
14556351,Ben Lomond House,83848627,Matthew,,Ward 2,44.91678,-123.03907,Entire home/apt,160,2,107,2022-03-18,1.57,1,305,16,
15272064,Vista Manor Peacock room. Queen bed ensuite bath.,49073704,Elizabeth,,Ward 2,44.91144,-123.042,Private room,61,1,652,2022-03-19,9.82,5,52,137,
15815105,"Vista Manor master suite, King bed ensuite bath.",49073704,Elizabeth,,Ward 2,44.91053,-123.04181,Private room,84,1,443,2022-03-20,6.82,5,61,127,
16690039,Bright Queen Room (+ desk) in Central Salem,3208932,Christy,,Ward 2,44.9315,-123.01878,Private room,35,1,248,2022-03-01,3.93,3,36,22,
17238122,Pringle creek furnished flats,102278503,Victoria,,Ward 2,44.92509,-123.03197,Entire home/apt,85,60,4,2021-03-04,0.22,3,323,0,
17238244,1920s Cottage - Walk in the Park  19-104415-LI,22605257,Linda,,Ward 7,44.92769,-123.04669,Entire home/apt,129,1,432,2022-03-21,7.11,1,227,108,
17424096,Cozy Bedroom in a townhouse,35861426,Erenly,,Ward 4,44.86694,-123.03125,Private room,51,2,13,2021-04-04,0.22,1,250,2,
18109670,Sweet T,96977638,Tamsin,,Ward 4,44.85425,-123.03118,Entire home/apt,110,2,157,2021-09-27,2.75,1,18,7,
19144944,Country Garden Retreat,133856626,Diane,,Ward 3,44.88863,-122.95169,Entire home/apt,80,2,225,2022-03-06,3.97,1,137,51,
19388806,"Cindy's Nook,  Suite, w/Private Entrance & Sauna",42050514,Cindy,,Ward 7,44.91655,-123.04683,Private room,85,1,261,2021-09-04,4.55,1,136,14,
19468058,Long Stays:  Clean Cozy Crazy Cool Living!,29091120,Victoria,,Ward 4,44.87809,-123.03331,Entire home/apt,99,10,32,2022-01-08,0.57,1,84,3,
19532562,Historic Cottage close to downtown for Eclipse,134427390,Nathan,,Ward 1,44.93868,-123.02154,Entire home/apt,1000,2,1,2017-08-21,0.02,1,0,0,
19703543,In Eclipse Zone: Private Master Bedroom w/ Bath,138834613,William,,Ward 4,44.8661,-123.01542,Private room,505,2,0,,,1,0,0,
19840044,"Sunnyslope Retreat - Private Entry, Fireplace & AC",17012934,Chuck & Lorie,,Ward 7,44.89607,-123.06258,Entire home/apt,91,3,148,2022-03-03,2.63,1,219,35,
19983672,Classic Town Home on 50 acres of wetlands,141740262,Megan,,Ward 4,44.85853,-123.02099,Private room,65,2,1,2017-08-22,0.02,1,173,0,
20011950,Private Room in Comfort Home,2421461,Nancy,,Ward 7,44.89192,-123.06963,Private room,90,1,1,2017-08-23,0.02,2,178,0,
20014682,**Private bedroom available SOLAR ECLIPSE,93510253,Lindsey,,Ward 2,44.92134,-123.03794,Private room,301,2,0,,,2,0,0,
20015604,Private bedroom available for **ECLIPSE**,93510253,Lindsey,,Ward 2,44.9198,-123.03812,Private room,249,2,1,2017-08-22,0.02,2,0,0,
20035307,Sweet private suite and more,90246105,Susan,,Ward 1,44.95033,-123.01447,Entire home/apt,76,2,114,2021-10-14,2.03,1,84,14,
20072558,Myrtle Cottage Guest House,142659171,Judy,,Ward 8,44.94082,-123.08049,Entire home/apt,81,3,102,2021-11-16,1.83,1,260,27,
20214612,Capitol City Eclipse Stay,42953691,Kimberly,,Ward 6,44.9463,-123.00124,Entire home/apt,350,2,0,,,1,88,0,
20231503,"Vista Manor Elephant Room ensuite  bath, king bed.",49073704,Elizabeth,,Ward 2,44.91154,-123.04225,Private room,61,1,254,2022-03-20,4.52,5,60,143,
20232827,Homebydesign4u,144041038,Ligali,,Ward 3,44.89761,-123.04809,Entire home/apt,154,2,130,2022-03-06,2.41,1,107,28,
20329857,COZY PRIVATE SOLAR ECLIPSE DESTINATION - AUG 18-22,144680856,Patricia,,Ward 2,44.92015,-123.03253,Entire home/apt,1000,2,0,,,1,0,0,
20329904,Immaculate and Quiet Home Centrally Located,145045803,Sheli,,Ward 3,44.89836,-123.02931,Entire home/apt,600,3,32,2022-02-23,0.68,1,338,7,
20332534,Wine country home nestled in the West Salem hills.,78623911,Jennifer,,Ward 8,44.95233,-123.08063,Entire home/apt,195,2,51,2022-01-15,1.31,1,160,16,
20354050,Eclectic Private Guest Qtrs Oregon 3D Art w/Spa,67222384,Sue,,Ward 5,44.99369,-122.98669,Private room,132,1,70,2021-12-09,1.36,3,341,16,
20442080,"$1000/room, Premium Home for Eclipse Viewing",145860318,Kevin,,Ward 8,44.93919,-123.08806,Private room,3000,1,0,,,1,0,0,
20455186,Golf course community 3 bedroom 2 bath - eclipse.,146014773,Tim,,Ward 4,44.86756,-123.03891,Entire home/apt,750,1,1,2017-08-21,0.02,1,89,0,
20463851,Downtown Studio w/ Rooftop Patio,97475069,Alex,,Ward 1,44.94275,-123.03786,Entire home/apt,130,1,35,2021-10-04,1.24,1,67,9,
20537027,Eclipse viewing,62669634,Lynne,,Ward 7,44.87153,-123.07813,Private room,175,2,0,,,1,0,0,
20555651,"Vista Manor butterfly room, King bed/ private bath",49073704,Elizabeth,,Ward 2,44.91074,-123.04313,Private room,49,1,75,2022-03-18,1.34,5,16,72,
20638909,Historic & Charming Salem Home w/Mill Creek Views!,121688409,Evolve,,Ward 1,44.93764,-123.01688,Entire home/apt,207,2,6,2022-01-21,0.12,3,223,2,
20843302,*Quiet Residential Home For Traveling Nurses,121661305,Don,,Ward 4,44.87962,-123.01718,Private room,32,27,12,2021-06-15,0.22,2,100,2,
21552585,Turn of the Century Charmer Oregon 3D Chainsaw Art,67222384,Sue,,Ward 5,44.99363,-122.9864,Private room,82,2,27,2022-01-12,0.52,3,365,7,
22215712,Private bedroom close to I-5,161312832,Emily,,Ward 4,44.87854,-123.03973,Private room,85,1,258,2022-03-11,5.00,1,89,7,
23234197,"Convenient, modern family home SE Salem near I5",9643500,Jason,,Ward 4,44.87183,-123.03444,Entire home/apt,143,5,98,2022-03-09,2.03,1,34,28,
23320790,Quiet Residential Home For Traveling Nurses,121661305,Don,,Ward 4,44.87892,-123.01769,Private room,32,27,4,2021-11-05,0.13,2,320,1,
24155499,Restful and Clean Guest Studio (monthly discount),32693061,Lisa,,Ward 1,44.94522,-123.01158,Entire home/apt,95,30,322,2022-03-20,6.71,1,97,70,
24780208,Guest Cottage at Vista Manor,49073704,Elizabeth,,Ward 2,44.91053,-123.04313,Entire home/apt,113,1,422,2022-03-20,8.92,5,63,119,
25425938,Charming Wilmette Valley hideaway,190791737,Jenni,,Ward 4,44.87567,-123.00046,Entire home/apt,350,3,15,2020-08-23,0.33,1,14,0,
25873321,"Ground floor guest suite: city, woods, wineries",89498854,Kyle,,Ward 7,44.89687,-123.07442,Entire home/apt,92,2,104,2022-03-12,2.28,1,292,24,
27546916,Beautiful 1940s Fairmount Hills Bungalow in Salem,31303377,Sarita,,Ward 7,44.92875,-123.04789,Entire home/apt,139,2,21,2020-03-12,0.48,1,282,0,
27631253,Classic Cottage Bungalow,132897916,Carly,,Ward 1,44.95262,-123.01072,Private room,75,1,244,2022-03-16,5.55,2,316,98,
29382038,South Salem - Home Away From Home,221348317,Tammy,,Ward 4,44.87878,-123.04529,Entire home/apt,160,2,179,2022-03-12,4.32,2,104,54,
29730707,Cozy Cellar Retreat in 1900's Bungalow,132897916,Carly,,Ward 1,44.93382,-123.04491,Entire home/apt,135,90,21,2021-10-30,0.51,2,50,16,
30340285,Beautiful Suite Near Downtown & Bush Park,17219224,Caleb And Keely,,Ward 2,44.92324,-123.03954,Entire home/apt,70,30,46,2022-02-02,1.15,2,131,7,
30442754,"Willamette Valley Bungalow in Salem, Oregon",228558574,Bill & Aimee,,Ward 7,44.91814,-123.04716,Entire home/apt,172,1,72,2022-02-27,1.83,1,352,20,
30856834,"Gorgeous Historical House, Walk to Downtown Salem",142557811,Susan,,Ward 2,44.93366,-123.04112,Entire home/apt,318,2,65,2022-02-20,1.65,2,221,26,
31005128,Near Downtown Private Guest House Covered Parking!,142557811,Susan,,Ward 2,44.93266,-123.0124,Entire home/apt,135,1,81,2022-03-13,2.07,2,144,39,
31907842,Central Salem Suite with Kitchen,18601259,Christopher And Jackie,,Ward 1,44.94926,-123.02469,Entire home/apt,85,1,238,2022-03-20,6.43,1,32,63,
32018098,Oregon Winemakers Beautiful Colonial in Salem,240057378,Patricia,,Ward 8,44.9706,-123.07798,Entire home/apt,299,2,84,2022-03-13,2.41,1,273,39,
32133603,Creekside View - Large 2 Bedroom 2 Bath Condo,142420980,Amanda,,Ward 1,44.94581,-123.03162,Entire home/apt,120,1,127,2022-03-14,3.35,7,302,53,
32318245,"Croisan Creek Cottage, South Salem",84296528,Lillian,,Ward 7,44.90968,-123.07327,Entire home/apt,146,2,90,2021-12-29,2.42,2,213,28,
32496063,"Salem OR, family friendly, close to everything!",70997537,Stephanie,,Ward 8,44.95131,-123.09716,Entire home/apt,295,3,12,2021-07-11,0.33,1,238,3,
32640764,Cozy and Convenient Hayesville Home,99619504,Connie,,Ward 5,44.98281,-122.96014,Entire home/apt,300,2,65,2021-10-05,1.80,1,219,17,
